player_name,team,opp,position,salary,ownership
Freddie Swain,SEA,LA,WR,3000,0.3
DeeJay Dallas,SEA,LA,RB,4000,0
Colby Parkinson,SEA,LA,TE,2500,0
Tyler Ott,SEA,LA,TE,2500,0
Greg Olsen,SEA,LA,TE,2500,0.3
Phillip Dorsett II,SEA,LA,WR,3000,0
Penny Hart,SEA,LA,WR,3000,0
Josh Gordon,SEA,LA,WR,3000,0
Nick Bellore,SEA,LA,RB,4000,0
Travis Homer,SEA,LA,RB,4000,0
Rashaad Penny,SEA,LA,RB,4000,0.4
Antonio Gibson,WAS,CAR,RB,6600,4.9
Dwayne Haskins Jr.,WAS,CAR,QB,5200,1.7
Logan Thomas,WAS,CAR,TE,4900,6.2
J.D. McKissic,WAS,CAR,RB,6400,3.5
WAS Football Team,WAS,CAR,D,3000,7.89
Cam Sims,WAS,CAR,WR,3300,7.4
Isaiah Wright,WAS,CAR,WR,3000,0.5
Steven Sims Jr.,WAS,CAR,WR,3000,3.7
Peyton Barber,WAS,CAR,RB,4400,0.4
Robert Foster,WAS,CAR,WR,3000,0.3
Jeremy Sprinkle,WAS,CAR,TE,2500,0
Antonio Gandy-Golden,WAS,CAR,WR,3000,0.4
Terry McLaurin,WAS,CAR,WR,6700,0
Temarrick Hemingway,WAS,CAR,TE,2500,0
Marcus Baugh,WAS,CAR,TE,2500,0
Thaddeus Moss,WAS,CAR,TE,2500,0
Dontrelle Inman,WAS,CAR,WR,3000,0
Emanuel Hall,WAS,CAR,WR,3000,0
Kelvin Harmon,WAS,CAR,WR,3000,0
Lamar Miller,WAS,CAR,RB,4000,0
Bryce Love,WAS,CAR,RB,4000,0
Mike Warren,WAS,CAR,RB,4000,0
