sim_ownership,player_name,team,opp,position,salary,ownership,pos,fp,fp_std,created_own,positive_ev
0.0,Ashton Dulin,IND,PIT,WR,3000,0.0,WR,0.0,0.0,0.0,0.0
0.0,Dezmon Patmon,IND,PIT,WR,3000,0.0,WR,0.0,0.0,0.0,0.0
0.0,Marcus Johnson,IND,PIT,WR,3000,0.0,WR,0.0,0.0,0.0,0.0
0.0,Trey Burton,IND,PIT,TE,2700,1.4,TE,4.760000013,4.840010415,1.0,-1.0
1.0,Mo Alie-Cox,IND,PIT,TE,2500,0.4,TE,4.630001746,4.527765932,1.0,0.0
0.0,Jack Doyle,IND,PIT,TE,2800,0.3,TE,3.83,4.109341062,0.0,0.0
0.0,Noah Togiai,IND,PIT,TE,2500,0.0,TE,0.0,0.0,0.0,0.0
1.0,Jonathan Taylor,IND,PIT,RB,7300,3.7,RB,16.80373463,8.641762719,2.0,-1.0
0.0,Nyheim Hines,IND,PIT,RB,5000,2.5,RB,11.34043641,7.054397602,0.0,0.0
0.0,Jordan Wilkins,IND,PIT,RB,4000,0.0,RB,2.17,5.345250255,0.0,0.0
0.0,Marlon Mack,IND,PIT,RB,4000,0.0,RB,0.0,0.0,0.0,0.0
0.5,Philip Rivers,IND,PIT,QB,5600,2.1,QB,18.62661262,8.065965277,2.0,-1.5
5.0,Colts,IND,PIT,D,3200,3.74,D,6.0,3.0,5.0,0.0
4.0,Keke Coutee,HOU,CIN,WR,5400,3.5,WR,14.21483376,7.801621901,6.0,-2.0
10.5,Brandin Cooks,HOU,CIN,WR,6200,7.7,WR,13.8056825,9.608086958,15.0,-4.5
4.0,Chad Hansen,HOU,CIN,WR,4400,4.1,WR,12.54958059,9.492511916,3.0,1.0
0.0,Randall Cobb,HOU,CIN,WR,3000,0.0,WR,5.554072697,5.373941947,0.0,0.0
0.0,Steven Mitchell Jr.,HOU,CIN,WR,3000,0.2,WR,0.0,0.0,0.0,0.0
0.0,Isaiah Coulter,HOU,CIN,WR,3000,0.0,WR,0.0,0.0,0.0,0.0
0.0,Will Fuller V,HOU,CIN,WR,3000,0.0,WR,0.0,0.0,0.0,0.0
4.5,Jordan Akins,HOU,CIN,TE,3300,3.1,TE,7.060082622,5.684288806,2.0,2.5
0.0,Darren Fells,HOU,CIN,TE,2500,0.2,TE,2.495,4.292227399,0.0,0.0
0.0,Pharaoh Brown,HOU,CIN,TE,2500,0.0,TE,1.43,2.307787847,0.0,0.0
0.0,Kahale Warring,HOU,CIN,TE,2500,0.0,TE,0.47,0.0,0.0,0.0
14.499999999999998,David Johnson,HOU,CIN,RB,6100,11.0,RB,16.95339629,11.29158319,14.000000000000002,0.49999999999999645
0.0,Duke Johnson Jr.,HOU,CIN,RB,5000,0.0,RB,13.16707367,7.46387133,0.0,0.0
0.5,Scottie Phillips,HOU,CIN,RB,4000,0.3,RB,1.23,5.006406693,1.0,-0.5
0.0,C.J. Prosise,HOU,CIN,RB,4000,0.3,RB,1.18,4.988383099,0.0,0.0
0.0,Buddy Howell,HOU,CIN,RB,4000,0.4,RB,0.72,0.0,0.0,0.0
0.0,Dontrell Hilliard,HOU,CIN,RB,4000,0.0,RB,0.0,0.0,0.0,0.0
5.5,Deshaun Watson,HOU,CIN,QB,7600,7.8,QB,24.30939635,10.75467129,7.000000000000001,-1.5000000000000009
21.0,Texans,HOU,CIN,D,2800,12.82,D,6.9,3.45,17.0,4.0
1.5,Tim Patrick,DEN,LAC,WR,4200,3.0,WR,12.33182814,8.440349177,2.0,-0.5
4.5,Jerry Jeudy,DEN,LAC,WR,3700,4.0,WR,10.87420721,7.847009204,4.0,0.5
2.0,KJ Hamler,DEN,LAC,WR,3200,3.3,WR,9.909836502,8.416677613,1.0,1.0
0.0,DaeSean Hamilton,DEN,LAC,WR,3000,0.0,WR,3.0,4.007621829,0.0,0.0
0.0,Courtland Sutton,DEN,LAC,WR,3000,0.0,WR,0.0,0.0,0.0,0.0
0.0,Diontae Spencer,DEN,LAC,WR,3000,0.0,WR,0.0,0.0,0.0,0.0
0.0,Tyrie Cleveland,DEN,LAC,WR,3000,0.0,WR,0.0,0.0,0.0,0.0
15.0,Noah Fant,DEN,LAC,TE,4800,6.0,TE,11.67476656,8.303675256,8.0,7.0
0.0,Nick Vannett,DEN,LAC,TE,2500,0.2,TE,1.09,1.519636886,0.0,0.0
